time,LineB2B5.P1Pu,case,parameter_value
1170.0,0.6600883448838238,0p24,0.24
1180.0,0.6600883448838384,0p24,0.24
1190.0,0.6600883448838527,0p24,0.24
1200.0,0.6600883448838671,0p24,0.24
1210.0,0.6600883448838816,0p24,0.24
1220.0,0.660088344883896,0p24,0.24
1230.0,0.6600883448839107,0p24,0.24
1240.0,0.660088344883925,0p24,0.24
1250.0,0.6600883448839394,0p24,0.24
1260.0,0.6600883448839538,0p24,0.24
1270.0,0.6600883448839683,0p24,0.24
1280.0,0.6600883448839827,0p24,0.24
1290.0,0.6600883448839971,0p24,0.24
1300.0,0.6600883448840116,0p24,0.24
1310.0,0.660088344884026,0p24,0.24
1320.0,0.6600883448840404,0p24,0.24
1330.0,0.660088344884055,0p24,0.24
1340.0,0.6600883448840693,0p24,0.24
1350.0,0.660088344884084,0p24,0.24
1360.0,0.6600883448840983,0p24,0.24
1370.0,0.6600883448841126,0p24,0.24
1380.0,0.6600883448841272,0p24,0.24
1390.0,0.6600883448841415,0p24,0.24
1400.0,0.6600883448841561,0p24,0.24
1410.0,0.6600883448841705,0p24,0.24
1420.0,0.6600883448841849,0p24,0.24
1430.0,0.6600883448841993,0p24,0.24
1440.0,0.6600883448842138,0p24,0.24
1450.0,0.6600883448842282,0p24,0.24
1460.0,0.6600883448842426,0p24,0.24
1470.0,0.6600883448842569,0p24,0.24
1480.0,0.6600883448842714,0p24,0.24
1490.0,0.660088344884286,0p24,0.24
1500.0,0.6600883448843005,0p24,0.24
1510.0,0.6600883448843149,0p24,0.24
1520.0,0.6600883448843292,0p24,0.24
1530.0,0.6600883448843438,0p24,0.24
1540.0,0.6600883448843581,0p24,0.24
1550.0,0.6600883448843726,0p24,0.24
1560.0,0.660088344884387,0p24,0.24
1570.0,0.6600883448843942,0p24,0.24
1580.0,0.6600883448843943,0p24,0.24
1590.0,0.6600883448843944,0p24,0.24
1600.0,0.6600883448843945,0p24,0.24
1610.0,0.6600883448843946,0p24,0.24
1620.0,0.6600883448843947,0p24,0.24
1630.0,0.6600883448843947,0p24,0.24
1640.0,0.6600883448843948,0p24,0.24
1650.0,0.6600883448843949,0p24,0.24
1660.0,0.660088344884395,0p24,0.24
1670.0,0.6600883448843952,0p24,0.24
1680.0,0.6600883448843953,0p24,0.24
1690.0,0.6600883448843953,0p24,0.24
1700.0,0.6600883448843954,0p24,0.24
1710.0,0.6600883448843955,0p24,0.24
1720.0,0.6600883448843955,0p24,0.24
1730.0,0.6600883448843957,0p24,0.24
1740.0,0.6600883448843958,0p24,0.24
1750.0,0.6600883448843959,0p24,0.24
1760.0,0.660088344884396,0p24,0.24
1770.0,0.6600883448843962,0p24,0.24
1780.0,0.6600883448843963,0p24,0.24
1790.0,0.6600883448843965,0p24,0.24
1800.0,0.6600883448843966,0p24,0.24
1810.0,0.6600883448843966,0p24,0.24
1820.0,0.6600883448843967,0p24,0.24
1830.0,0.6600883448843968,0p24,0.24
1840.0,0.6600883448843969,0p24,0.24
1850.0,0.660088344884397,0p24,0.24
1860.0,0.6600883448843972,0p24,0.24
1870.0,0.6600883448843973,0p24,0.24
1880.0,0.6600883448843974,0p24,0.24
1890.0,0.6600883448843975,0p24,0.24
1900.0,0.6600883448843975,0p24,0.24
1910.0,0.6600883448843976,0p24,0.24
1920.0,0.6600883448843977,0p24,0.24
1930.0,0.6600883448843979,0p24,0.24
1940.0,0.660088344884398,0p24,0.24
1950.0,0.6600883448843982,0p24,0.24
1960.0,0.6600883448843983,0p24,0.24
1970.0,0.6600883448843984,0p24,0.24
1980.0,0.6600883448843985,0p24,0.24
1990.0,0.6600883448843985,0p24,0.24
2000.0,0.6600883448843986,0p24,0.24
2000.0,0.6600883451394491,0p24,0.24
